('ingredient', 'Cheese', ' Turkey', 'Karaman')
('ingredient', 'Cheese', ' Turkey', 'Tokat')
('ingredient', 'Cheese', ' Turkey', 'Black_Sea_Region')
('ingredient', 'Cheese', ' Turkey', 'Erzincan')
('ingredient', 'Cheese', ' United Kingdom', 'List_of_British_cheeses')
('ingredient', 'Cheese', ' Canada', 'Bocconcini')
('ingredient', 'Cheese', ' Canada', 'Bouq_Emissaire')
('ingredient', 'Cheese', ' Canada', 'Friulano')
('ingredient', 'Cheese', ' Canada', 'Oka_cheese')
('ingredient', 'Cheese', ' El Salvador', 'Cuajada')
('ingredient', 'Cheese', ' El Salvador', 'Crema')
('ingredient', 'Cheese', ' El Salvador', 'Fresco')
('ingredient', 'Cheese', ' El Salvador', 'Enredo')
('ingredient', 'Cheese', ' El Salvador', 'Queto')
('ingredient', 'Cheese', ' Honduras', 'Cuajada')
('ingredient', 'Cheese', ' Honduras', 'Crema')
('ingredient', 'Cheese', ' Honduras', 'Fresco')
('ingredient', 'Cheese', ' Honduras', 'Quesillo')
('ingredient', 'Cheese', ' Honduras', 'Seco')
('ingredient', 'Cheese', ' Mexico', 'Cheeses_of_Mexico')
('ingredient', 'Cheese', ' Mexico', 'Oaxaca_cheese')
('ingredient', 'Cheese', ' Mexico', 'Queso_Chihuahua')
('ingredient', 'Cheese', ' Mexico', 'Cotija_cheese')
('ingredient', 'Cheese', ' Mexico', 'Criollo_cheese')
('ingredient', 'Cheese', ' Mexico', 'Oaxaca_cheese')
('ingredient', 'Cheese', ' Mexico', 'Queso_Panela')
('ingredient', 'Cheese', ' Nicaragua', 'Quesillo')
('ingredient', 'Cheese', ' United States', 'List_of_American_cheeses')
('ingredient', 'Cheese', ' Australia', 'Coon_cheese')
('ingredient', 'Cheese', ' New Zealand', 'Chesdale_Cheese')
('ingredient', 'Cheese', ' New Zealand', 'Evansdale_Cheese')
('ingredient', 'Cheese', ' Argentina', 'Cremoso')
('ingredient', 'Cheese', ' Argentina', 'Reggianito')
('ingredient', 'Cheese', ' Argentina', 'Sardo_cheese')
('ingredient', 'Cheese', ' Brazil', 'Coalho')
('ingredient', 'Cheese', ' Brazil', 'Catupiry')
('ingredient', 'Cheese', ' Brazil', 'Minas_cheese')
('ingredient', 'Cheese', ' Brazil', 'Coalho')
('ingredient', 'Cheese', ' Brazil', 'Prato_(disambiguation)')
('ingredient', 'Cheese', ' Chile', 'Chanco_cheese')
('ingredient', 'Cheese', ' Chile', 'Chanco_cheese')
('ingredient', 'Cheese', ' Chile', 'Gauda')
('ingredient', 'Cheese', ' Chile', 'Panquehue_(cheese)')
('ingredient', 'Cheese', ' Chile', 'Renaico')
('ingredient', 'Cheese', ' Colombia', 'Quesillo')
('ingredient', 'Cheese', ' Colombia', 'Cuajada')
('ingredient', 'Cheese', ' Venezuela', 'Queso_Palmita')
('ingredient', 'Cheese', ' Venezuela', 'Cottage_cheese')
('ingredient', 'Cheese', ' Venezuela', 'Farmer_cheese')
('ingredient', 'Cheese', ' Venezuela', 'Smoked_cheese')
('ingredient', 'Cheese', ' Venezuela', 'Nacho_cheese')
('ingredient', 'Cheese', ' Venezuela', 'Margarine')
('ingredient', 'Cheese', ' Venezuela', 'List_of_British_cheeses')
('ingredient', 'Cheese', ' Venezuela', 'Applewood_cheese')
('ingredient', 'Cheese', ' Venezuela', 'Bonchester_cheese')
('ingredient', 'Cheese', ' Venezuela', 'Caerphilly_cheese')
('ingredient', 'Cheese', ' Venezuela', 'Cathedral_City_Cheddar')
('ingredient', 'Cheese', ' Venezuela', 'List_of_French_cheeses')
('ingredient', 'Cheese', ' Venezuela', 'Abondance_(cheese)')
('ingredient', 'Cheese', ' Venezuela', 'Bleu_de_Bresse')
('ingredient', 'Cheese', ' Venezuela', 'List_of_Italian_cheeses')
('ingredient', 'Cheese', ' Venezuela', 'Asiago_cheese')
('ingredient', 'Cheese', ' Venezuela', 'List_of_cheeses')
('ingredient', 'Cheese', ' Venezuela', 'List_of_cheeses')
('ingredient', 'Cheese', ' Venezuela', 'Main_Page')
('ingredient', 'Cheese', ' Venezuela', 'Main_Page')
